rank,title,score,members,episodes,year,link,members_normalized,members_log,episodes_category
59,86 Part 2,8.71,546354,12.0,2021,https://myanimelist.net/anime/48569/86_Part_2,0.18226584604426802,13.211024226599735,Série curta
60,Dandadan,8.71,462543,12.0,2024,https://myanimelist.net/anime/57334/Dandadan,0.15229844472437365,13.044496966544692,Série curta
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.71,191785,12.0,2017,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,0.055486407562521926,12.164135446066648,Série curta
62,Mob Psycho 100 III,8.71,741057,12.0,2022,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,0.2518837117085291,13.515834173819671,Série curta
63,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,281830,4.0,1999,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,0.08768283347141081,12.549062879493611,Série curta
64,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,322722,13.0,2023,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,0.10230414779498553,12.684549649128966,Série média
65,Code Geass: Hangyaku no Lelouch,8.7,2318585,25.0,2006,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,0.8159434970513875,14.656468075073754,Série longa
66,Mushishi Zoku Shou,8.69,308363,10.0,2014,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,0.09716995400714903,12.639036182340147,Série curta
67,Mo Dao Zu Shi: Wanjie Pian,8.68,85247,12.0,2021,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,0.017392756349448413,11.353319934460007,Série curta
68,Great Teacher Onizuka,8.68,856848,43.0,1999,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,0.2932858589950653,13.6610169860229,Série longa
69,Violet Evergarden,8.68,1850931,13.0,2018,https://myanimelist.net/anime/33352/Violet_Evergarden,0.6487294667110518,14.431199853981845,Série média
70,Hajime no Ippo: New Challenger,8.67,298889,26.0,2009,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,0.09378243733147784,12.607830891707012,Série longa
71,Howl no Ugoku Shiro,8.67,1389662,1.0,2004,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,0.4837984524118983,14.144571829668916,1 Episódio
72,Mononoke Hime,8.66,1296604,1.0,1997,https://myanimelist.net/anime/164/Mononoke_Hime,0.4505247003742573,14.075259867954992,1 Episódio
73,Natsume Yuujinchou Shichi,8.66,36604,12.0,2024,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi,0.0,10.507940122080743,Série curta
